tmdbId,type,Name,Budget,Revenue,Original_Lang,Runtime,Adult,Actor_1,Actor_2,Director
862,movie,Toy Story,30000000,394400000,en,81,FALSE,Tom Hanks,Tim Allen,John Lasseter
8844,movie,Jumanji,65000000,262821940,en,104,FALSE,Robin Williams,Kirsten Dunst,Joe Johnston
15602,movie,Grumpier Old Men,25000000,71500000,en,101,FALSE,Walter Matthau,Jack Lemmon,Howard Deutch
31357,movie,Waiting to Exhale,16000000,81452156,en,127,FALSE,Whitney Houston,Angela Bassett,Forest Whitaker
11862,movie,Father of the Bride Part II,0,76594107,en,106,FALSE,Steve Martin,Diane Keaton,Charles Shyer
949,movie,Heat,60000000,187400000,en,170,FALSE,Al Pacino,Robert De Niro,Michael Mann
11860,movie,Sabrina,58000000,53672080,en,127,FALSE,Harrison Ford,Julia Ormond,Sydney Pollack
45325,movie,Tom and Huck,0,23920048,en,97,FALSE,Jonathan Taylor Thomas,Brad Renfro,Peter Hewitt
9091,movie,Sudden Death,35000000,64350171,en,110,FALSE,Jean-Claude Van Damme,Powers Boothe,Peter Hyams
710,movie,GoldenEye,58000000,352194034,en,130,FALSE,Pierce Brosnan,Sean Bean,Martin Campbell
9087,movie,The American President,62000000,107879496,en,114,FALSE,Michael Douglas,Annette Bening,Rob Reiner
12110,movie,Dracula: Dead and Loving It,30000000,10772144,en,88,FALSE,Leslie Nielsen,Mel Brooks,Mel Brooks
21032,movie,Balto,31000000,11348324,en,78,FALSE,Kevin Bacon,Bob Hoskins,Simon Wells
10858,movie,Nixon,44000000,13681765,en,192,FALSE,Anthony Hopkins,Joan Allen,Oliver Stone
1408,movie,Cutthroat Island,98000000,10017322,en,124,FALSE,Geena Davis,Matthew Modine,Renny Harlin
524,movie,Casino,50000000,116112375,en,179,FALSE,Robert De Niro,Sharon Stone,Martin Scorsese
4584,movie,Sense and Sensibility,16000000,134582776,en,136,FALSE,Emma Thompson,Kate Winslet,Ang Lee
5,movie,Four Rooms,4000000,4257354,en,98,FALSE,Tim Roth,Jennifer Beals,No Director
9273,movie,Ace Ventura: When Nature Calls,30000000,212385533,en,90,FALSE,Jim Carrey,Ian McNeice,Steve Oedekerk
11517,movie,Money Train,68000000,77224232,en,110,FALSE,Wesley Snipes,Woody Harrelson,Joseph Ruben
8012,movie,Get Shorty,30250000,115101622,en,105,FALSE,John Travolta,Gene Hackman,Barry Sonnenfeld
1710,movie,Copycat,20000000,32000000,en,124,FALSE,Sigourney Weaver,Holly Hunter,Jon Amiel
9691,movie,Assassins,50000000,30303072,en,132,FALSE,Sylvester Stallone,Antonio Banderas,Richard Donner
12665,movie,Powder,9500000,30900000,en,111,FALSE,Mary Steenburgen,Sean Patrick Flanery,Victor Salva
451,movie,Leaving Las Vegas,3600000,49800000,en,111,FALSE,Nicolas Cage,Elisabeth Shue,Mike Figgis
16420,movie,Othello,11000000,2800000,en,123,FALSE,Laurence Fishburne,Irène Jacob,Oliver Parker
9263,movie,Now and Then,12000000,27400000,en,100,FALSE,Christina Ricci,Rosie O'Donnell,Lesli Linka Glatter
17015,movie,Persuasion,0,0,en,107,FALSE,Amanda Root,Ciarán Hinds,Roger Michell
902,movie,The City of Lost Children,18000000,1738611,fr,108,FALSE,Ron Perlman,Dominique Pinon,No Director
37557,movie,Shanghai Triad,2300000,0,zh,108,FALSE,Gong Li,Li Baotian,Zhang Yimou
9909,movie,Dangerous Minds,23000000,179519401,en,99,FALSE,Michelle Pfeiffer,George Dzundza,John N. Smith
63,movie,Twelve Monkeys,29000000,168841459,en,129,FALSE,Bruce Willis,Madeleine Stowe,Terry Gilliam
9598,movie,Babe,30000000,254100000,en,91,FALSE,Christine Cavanaugh,Miriam Margolyes,Chris Noonan
687,movie,Dead Man Walking,11000000,39363635,en,122,FALSE,Susan Sarandon,Sean Penn,Tim Robbins
33689,movie,It Takes Two,0,19474589,en,101,FALSE,Kirstie Alley,Steve Guttenberg,Andy Tennant
9603,movie,Clueless,12000000,56631572,en,97,FALSE,Alicia Silverstone,Stacey Dash,Amy Heckerling
34615,movie,"Cry, the Beloved Country",0,676525,en,106,FALSE,Richard Harris,James Earl Jones,Darrell James Roodt
31174,movie,Richard III,0,2748518,en,104,FALSE,Ian McKellen,Annette Bening,Richard Loncraine
11443,movie,Dead Presidents,10000000,24100000,en,119,FALSE,Larenz Tate,Keith David,No Director
35196,movie,Restoration,19000000,4005941,en,117,FALSE,Robert Downey Jr.,Meg Ryan,Michael Hoffman
9312,movie,Mortal Kombat,18000000,122195920,en,101,FALSE,Robin Shou,Linden Ashby,Paul W. S. Anderson
577,movie,To Die For,20000000,21300000,en,106,FALSE,Nicole Kidman,Matt Dillon,Gus Van Sant
11861,movie,How to Make an American Quilt,10000000,41200020,en,116,FALSE,Winona Ryder,Anne Bancroft,Jocelyn Moorhouse
807,movie,Se7en,33000000,327311859,en,127,FALSE,Morgan Freeman,Brad Pitt,David Fincher
10530,movie,Pocahontas,55000000,346100000,en,81,FALSE,Irene Bedard,Mel Gibson,No Director
8391,movie,When Night Is Falling,0,0,en,96,FALSE,Pascale Bussières,Rachael Crawford,Patricia Rozema
629,movie,The Usual Suspects,6000000,23300000,en,106,FALSE,Gabriel Byrne,Kevin Spacey,Bryan Singer
11448,movie,Mighty Aphrodite,15000000,6700000,en,95,FALSE,Woody Allen,Mira Sorvino,Woody Allen
49133,movie,Lamerica,0,0,it,112,FALSE,Enrico Lo Verso,Michele Placido,Gianni Amelio
26441,movie,The Big Green,0,0,en,100,FALSE,Olivia d'Abo,Steve Guttenberg,Holly Goldberg Sloan
97406,movie,Georgia,0,1110974,en,115,FALSE,Jennifer Jason Leigh,Mare Winningham,Ulu Grosbard
9089,movie,Home for the Holidays,20000000,22119269,en,103,FALSE,Holly Hunter,Robert Downey Jr.,Jodie Foster
11010,movie,The Postman,3000000,33000000,it,109,FALSE,Massimo Troisi,Philippe Noiret,Michael Radford
11359,movie,The Indian in the Cupboard,45000000,35700000,en,96,FALSE,Hal Scardino,Litefoot,Frank Oz
17182,movie,Eye for an Eye,20000000,26877589,en,101,FALSE,Sally Field,Kiefer Sutherland,John Schlesinger
2054,movie,Mr. Holland's Opus,31000000,106300000,en,143,FALSE,Richard Dreyfuss,Glenne Headly,Stephen Herek
10607,movie,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,3800000,20100000,en,89,FALSE,Shawn Wayans,Marlon Wayans,Paris Barclay
19760,movie,Two If by Sea,0,10658278,en,96,FALSE,Sandra Bullock,Denis Leary,Bill Bennett
9536,movie,Bio-Dome,8500000,13400000,en,95,FALSE,Pauly Shore,Stephen Baldwin,Jason Bloom
11525,movie,Lawnmower Man 2: Beyond Cyberspace,15000000,2409225,en,92,FALSE,Patrick Bergin,Matt Frewer,Farhad Mann
4482,movie,French Twist,0,0,fr,95,FALSE,Victoria Abril,Josiane Balasko,Josiane Balasko
10634,movie,Friday,3500000,28200000,en,97,FALSE,Ice Cube,Chris Tucker,F. Gary Gray
755,movie,From Dusk Till Dawn,19000000,25800000,en,108,FALSE,George Clooney,Quentin Tarantino,Robert Rodriguez
11859,movie,Fair Game,50000000,11500000,en,91,FALSE,William Baldwin,Cindy Crawford,Andrew Sipes
28387,movie,Kicking and Screaming,0,718490,en,96,FALSE,Josh Hamilton,Olivia d'Abo,Noah Baumbach
48750,movie,Les Miserables,0,0,fr,175,FALSE,Jean-Paul Belmondo,Michel Boujenah,Claude Lelouch
20927,movie,Bed of Roses,0,19030691,en,87,FALSE,Christian Slater,Mary Stuart Masterson,Michael Goldenberg
36929,movie,Big Bully,15000000,2042530,en,90,FALSE,Rick Moranis,Tom Arnold,Steve Miner
9102,movie,Screamers,20000000,5781885,en,108,FALSE,Peter Weller,Jennifer Rubin,Christian Duguay
124626,movie,Nico Icon,0,0,en,70,FALSE,Nico,Tina Aumont,Susanne Ofteringer
27526,movie,The Crossing Guard,0,0,en,111,FALSE,Jack Nicholson,David Morse,Sean Penn
9623,movie,The Juror,44000000,22754725,en,118,FALSE,Demi Moore,Alec Baldwin,Brian Gibson
46785,movie,The White Balloon,0,0,fa,85,FALSE,Aida Mohammadkhani,Mohsen Kafili,Jafar Panahi
400,movie,Things to Do in Denver When You're Dead,8000000,529766,en,116,FALSE,Andy García,Christopher Lloyd,Gary Fleder
880,movie,Antonia's Line,900000,0,nl,102,FALSE,Willeke van Ammelrooy,Els Dottermans,Marleen Gorris
146599,movie,Once Upon a Time... When We Were Colored,0,0,en,115,FALSE,Al Freeman Jr.,Phylicia Rashād,Tim Reid
8447,movie,Angels and Insects,0,0,en,118,FALSE,Mark Rylance,Kristin Scott Thomas,Philip Haas
10534,movie,White Squall,38000000,10300000,en,129,FALSE,Jeff Bridges,Caroline Goodall,Ridley Scott
17414,movie,Dunston Checks In,16000000,0,en,88,FALSE,Jason Alexander,Faye Dunaway,Ken Kwapis
13997,movie,Black Sheep,0,32000000,en,87,FALSE,Chris Farley,David Spade,Penelope Spheeris
2086,movie,Nick of Time,33000000,8175346,en,90,FALSE,Johnny Depp,Courtney Chase,John Badham
9095,movie,Mary Reilly,47000000,12379402,en,104,FALSE,Julia Roberts,John Malkovich,Stephen Frears
12158,movie,Vampire in Brooklyn,14000000,19800000,en,100,FALSE,Angela Bassett,Eddie Murphy,Wes Craven
9283,movie,Beautiful Girls,16000000,27000000,en,112,FALSE,Timothy Hutton,Matt Dillon,Ted Demme
9208,movie,Broken Arrow,50000000,150300000,en,108,FALSE,John Travolta,Christian Slater,John Woo
40154,movie,In the Bleak Midwinter,0,0,en,99,FALSE,Michael Maloney,Richard Briers,Kenneth Branagh
406,movie,La Haine,2600000,15300000,fr,98,FALSE,Vincent Cassel,Hubert Koundé,Mathieu Kassovitz
63076,movie,Heidi Fleiss: Hollywood Madam,0,0,en,106,FALSE,Nick Broomfield,Heidi Fleiss,Nick Broomfield
11062,movie,City Hall,0,0,en,111,FALSE,Al Pacino,John Cusack,Harold Becker
13685,movie,Bottle Rocket,7000000,1040879,en,91,FALSE,Owen Wilson,Luke Wilson,Wes Anderson
47475,movie,Mr. Wrong,0,0,en,96,FALSE,Ellen DeGeneres,Bill Pullman,Nick Castle
2045,movie,Unforgettable,18000000,0,en,106,FALSE,Ray Liotta,Linda Fiorentino,John Dahl
9614,movie,Happy Gilmore,12000000,41205099,en,92,FALSE,Adam Sandler,Christopher McDonald,Dennis Dugan
688,movie,The Bridges of Madison County,24000000,182016617,en,135,FALSE,Clint Eastwood,Meryl Streep,Clint Eastwood
11907,movie,Nobody Loves Me,0,0,de,104,FALSE,Maria Schrader,Pierre Sanoussi-Bliss,Doris Dörrie
10874,movie,Muppet Treasure Island,31000000,34300000,en,100,FALSE,Tim Curry,Billy Connolly,Brian Henson
89333,movie,Catwalk,0,0,en,95,FALSE,Christy Turlington,Azzedine Alaïa,Robert Leacock
197,movie,Braveheart,72000000,213216216,en,177,FALSE,Mel Gibson,Catherine McCormack,Mel Gibson
103,movie,Taxi Driver,1900000,28600000,en,114,FALSE,Robert De Niro,Jodie Foster,Martin Scorsese
33542,movie,Rumble in the Bronx,7500000,32400000,cn,104,FALSE,Jackie Chan,Anita Mui,Stanley Tong
43566,movie,Before and After,35000000,8797839,en,108,FALSE,Meryl Streep,Liam Neeson,Barbet Schroeder
51352,movie,Anne Frank Remembered,0,1,en,117,FALSE,Kenneth Branagh,Glenn Close,Jon Blair
16934,movie,The Young Poisoner's Handbook,0,0,en,99,FALSE,Hugh O'Conor,Antony Sher,Benjamin Ross
10324,movie,If Lucy Fell,5000000,2420162,en,92,FALSE,Sarah Jessica Parker,Eric Schaeffer,Eric Schaeffer
78406,movie,Steal Big Steal Little,25000000,6278139,en,113,FALSE,Andy García,Alan Arkin,Andrew Davis
32119,movie,The Boys of St. Vincent,0,204540,en,93,FALSE,Henry Czerny,Johnny Morina,John N. Smith
11066,movie,Boomerang,40000000,70100000,en,117,FALSE,Eddie Murphy,Robin Givens,Reginald Hudlin
11104,movie,Chungking Express,160000,0,cn,103,FALSE,Takeshi Kaneshiro,Brigitte Lin,Wong Kar-wai
2074,movie,Flirting with Disaster,7000000,14702438,en,92,FALSE,Ben Stiller,Patricia Arquette,David O. Russell
27793,movie,The NeverEnding Story III,17000000,0,en,95,FALSE,Jason James Richter,Melody Kay,Peter MacDonald
290157,movie,Jupiter's Wife,0,0,en,87,FALSE,Maggie Cogan,No Actor,Michel Negroponte
110972,movie,Pie in the Sky,0,0,en,95,FALSE,Josh Charles,Anne Heche,Bryan Gordon
11863,movie,Jade,50000000,9851610,en,95,FALSE,David Caruso,Linda Fiorentino,William Friedkin
9101,movie,Down Periscope,0,37553585,en,92,FALSE,Kelsey Grammer,Lauren Holly,David S. Ward
5757,movie,Man of the Year,0,209935,en,86,FALSE,Dirk Shafer,Mary Stein,Dirk Shafer
9302,movie,Up Close & Personal,60000000,100688562,en,119,FALSE,Robert Redford,Michelle Pfeiffer,Jon Avnet
11000,movie,The Birdcage,31000000,185300000,en,119,FALSE,Robin Williams,Nathan Lane,Mike Nichols
16388,movie,The Brothers McMullen,0,0,en,98,FALSE,Shari Albert,Maxine Bahns,Edward Burns
9737,movie,Bad Boys,19000000,141400000,en,119,FALSE,Will Smith,Martin Lawrence,Michael Bay
30765,movie,The Amazing Panda Adventure,0,7506759,en,84,FALSE,Stephen Lang,Ryan Slater,Christopher Cain
10474,movie,The Basketball Diaries,2000000,2381087,en,102,FALSE,Leonardo DiCaprio,Mark Wahlberg,Scott Kalvert
22279,movie,An Awfully Big Adventure,4000000,851545,en,113,FALSE,Alan Rickman,Hugh Grant,Mike Newell
30157,movie,Amateur,0,0,en,105,FALSE,Isabelle Huppert,Martin Donovan,Hal Hartley
568,movie,Apollo 13,52000000,355237933,en,140,FALSE,Tom Hanks,Bill Paxton,Ron Howard
11780,movie,Rob Roy,28000000,31600000,en,139,FALSE,Liam Neeson,Jessica Lange,Michael Caton-Jones
34996,movie,The Addiction,0,0,en,82,FALSE,Lili Taylor,Christopher Walken,Abel Ferrara
414,movie,Batman Forever,100000000,336529144,en,121,FALSE,Val Kilmer,Tommy Lee Jones,Joel Schumacher
649,movie,Belle de Jour,0,0,fr,101,FALSE,Catherine Deneuve,Jean Sorel,Luis Buñuel
1873,movie,Beyond Rangoon,23000000,14700000,en,100,FALSE,Patricia Arquette,U Aung Ko,John Boorman
5894,movie,Blue in the Face,2000000,1300000,en,83,FALSE,Harvey Keitel,Lou Reed,No Director
1775,movie,Canadian Bacon,11000000,178104,en,91,FALSE,John Candy,Alan Alda,Michael Moore
8839,movie,Casper,50000000,287928194,en,100,FALSE,Christina Ricci,Bill Pullman,Brad Silberling
20649,movie,Clockers,25000000,13100000,en,128,FALSE,Harvey Keitel,John Turturro,Spike Lee
10329,movie,Congo,50000000,152022101,en,109,FALSE,Laura Linney,Dylan Walsh,Frank Marshall
8963,movie,Crimson Tide,53000000,157387195,en,116,FALSE,Denzel Washington,Gene Hackman,Tony Scott
26564,movie,Crumb,0,3174695,en,119,FALSE,Robert Crumb,Aline Kominsky,Terry Zwigoff
8068,movie,Desperado,7000000,25400000,en,104,FALSE,Antonio Banderas,Salma Hayek Pinault,Robert Rodriguez
8512,movie,Devil in a Blue Dress,27000000,16140822,en,102,FALSE,Denzel Washington,Tom Sizemore,Carl Franklin
1572,movie,Die Hard: With a Vengeance,90000000,366101666,en,128,FALSE,Bruce Willis,Samuel L. Jackson,John McTiernan
13552,movie,The Doom Generation,800000,284785,en,83,FALSE,Rose McGowan,James Duval,Gregg Araki
6520,movie,First Knight,55000000,127600435,en,134,FALSE,Sean Connery,Richard Gere,Jerry Zucker
9073,movie,Free Willy 2: The Adventure Home,31000000,30000000,en,95,FALSE,Jason James Richter,Michael Madsen,Dwight H. Little
10428,movie,Hackers,20000000,7563728,en,107,FALSE,Jonny Lee Miller,Angelina Jolie,Iain Softley
17447,movie,Jeffrey,0,3487767,en,92,FALSE,Steven Weber,Patrick Stewart,Christopher Ashley
9886,movie,Johnny Mnemonic,25000000,19075720,en,97,FALSE,Keanu Reeves,Dina Meyer,Robert Longo
9482,movie,Judge Dredd,90000000,113493481,en,96,FALSE,Sylvester Stallone,Diane Lane,Danny Cannon
19326,movie,Jury Duty,0,17014653,en,88,FALSE,Pauly Shore,Tia Carrere,John Fortenberry
9344,movie,Kids,1500000,20412216,en,91,FALSE,Leo Fitzpatrick,Justin Pierce,Larry Clark
9071,movie,Living in Oblivion,500000,1148752,en,90,FALSE,Steve Buscemi,Catherine Keener,Tom DiCillo
8973,movie,Lord of Illusions,0,13294594,en,119,FALSE,Scott Bakula,Kevin J. O'Connor,Clive Barker
15730,movie,Love & Human Remains,0,0,en,100,FALSE,Thomas Gibson,Ruth Marshall,Denys Arcand
47608,movie,Mad Love,0,15453274,en,95,FALSE,Chris O'Donnell,Drew Barrymore,Antonia Bird
2293,movie,Mallrats,6000000,2122561,en,94,FALSE,Shannen Doherty,Jeremy London,Kevin Smith
9070,movie,Mighty Morphin Power Rangers: The Movie,15000000,66400000,en,96,FALSE,David Yost,Steve Cardenas,Bryan Spicer
48787,movie,Mute Witness,0,0,en,95,FALSE,Marina Zudina,Fay Ripley,Anthony Waller
34574,movie,Nadja,0,0,en,93,FALSE,Suzy Amis,Galaxy Craze,Michael Almereyda
1642,movie,The Net,22000000,110627965,en,114,FALSE,Sandra Bullock,Jeremy Northam,Irwin Winkler
11472,movie,Nine Months,35000000,138500000,en,103,FALSE,Hugh Grant,Julianne Moore,Chris Columbus
36196,movie,Party Girl,150000,472370,en,94,FALSE,Parker Posey,Omar Townsend,Daisy von Scherler Mayer
11980,movie,The Prophecy,8000000,16115878,en,98,FALSE,Christopher Walken,Elias Koteas,Gregory Widen
58372,movie,Reckless,0,0,en,91,FALSE,Mia Farrow,Scott Glenn,Norman René
32646,movie,Safe,0,0,en,119,FALSE,Julianne Moore,Xander Berkeley,Todd Haynes
10533,movie,The Scarlet Letter,50000000,10382407,en,135,FALSE,Demi Moore,Gary Oldman,Roland Joffé
10802,movie,Showgirls,45000000,20350754,en,131,FALSE,Elizabeth Berkley,Gina Gershon,Paul Verhoeven
10149,movie,Smoke,7000000,8349430,en,112,FALSE,Harvey Keitel,William Hurt,Wayne Wang
18402,movie,Something to Talk About,30000000,77300000,en,106,FALSE,Julia Roberts,Dennis Quaid,Lasse Hallström
9348,movie,Species,35000000,113400000,en,108,FALSE,Natasha Henstridge,Ben Kingsley,Roger Donaldson
281,movie,Strange Days,42000000,7959291,en,145,FALSE,Ralph Fiennes,Angela Bassett,Kathryn Bigelow
5967,movie,The Umbrellas of Cherbourg,7,0,fr,93,FALSE,Catherine Deneuve,Nino Castelnuovo,Jacques Demy
47939,movie,Three Wishes,10000000,7027000,en,115,FALSE,Patrick Swayze,Mary Elizabeth Mastrantonio,Martha Coolidge
36834,movie,Total Eclipse,0,339889,en,111,FALSE,Leonardo DiCaprio,David Thewlis,Agnieszka Holland
9090,movie,"To Wong Foo, Thanks for Everything! Julie Newmar",0,47774193,en,109,FALSE,Patrick Swayze,Wesley Snipes,Beeban Kidron
3512,movie,Under Siege 2: Dark Territory,60000000,104324083,en,100,FALSE,Steven Seagal,Eric Bogosian,Geoff Murphy
